linkedin_url,headline,City,State,Country,Job_Title,Employer,Grad_Year,Degree,Degree_Program,Degree_Major,Index,field_of_study,education_start_year,education_end_year,current_job_title,current_job_description,current_company_name,current_company_url,current_job_industry,current_job_country,current_job_location,current_job_start_date,previous_job_title,previous_job_description,previous_company_name,total_experience_years,skills,total_experience_count,has_current_job_description,has_previous_job_description,profile_text,skills_list,skill_count
external_validation_index_59,lead client solutions manager,Leonardo,New Jersey,United States,Lead Client Solutions Manager,LinkedIn,2019,Master of Business Admin,Business Administration (MBA) [Online],Business Administration,59,,NA,NA,,,,NA,unknown,unknown,unknown,NA,,,NA,0,,0,0,0,lead client solutions manager,,0
external_validation_index_60,client service partner,New Carrollton,Maryland,United States,Product Analyst - Tax Support Specialist,Bloomberg Industry,2019,BS in Business Administration,Business Administration: Accounting (BSBA),Business Administration,60,master of science in taxation mst taxation,2023,2024,client service partner,,bloomberg industry group,https://www.bloombergindustry.com/,software development,united states,unknown,2025-10-01T00:00:00Z,tax technical specialist,ä train clients and resolve complex questions on tax and accounting programs such as income tax planner irs form fixed assets irs regulation estate and gift tax products and software and more to increase product knowledge and knowledge of current tax regulations ä facilitate meetings between project management and product development teams to address client issues and suggest resolutions to update products with the most current tax data and maintain positive brand reputation ä assist in the full life cycle of onboarding candidates for open positions on the team and train new hires on various tax software and computer applications,Bloomberg Industry Group,8.9,"budgeting & forecasting,customer service operations,auditing,finance,accounts payable (ap),financial planning and analysis (fp&a),business planning,technical accounting,external audits,big four accounting firms,budgeting,presentations,financial planning,financial modeling,cash flow,general ledgers,system solutions,software updates,erp software,financial management",14,0,1,client service partner client service partner bloomberg industry group tax technical specialist ä train clients and resolve complex questions on tax and accounting programs such as income tax planner irs form fixed assets irs regulation estate and gift tax products and software and more to increase product knowledge and knowledge of current tax regulations ä facilitate meetings between project management and product development teams to address client issues and suggest resolutions to update products with the most current tax data and maintain positive brand reputation ä assist in the full life cycle of onboarding candidates for open positions on the team and train new hires on various tax software and computer applications,"budgeting & forecasting, customer service operations, auditing, finance, accounts payable (ap), financial planning and analysis (fp&a), business planning, technical accounting, external audits, big four accounting firms, budgeting, presentations, financial planning, financial modeling, cash flow, general ledgers, system solutions, software updates, erp software, financial management",20
external_validation_index_61,manager,Artarmon,Unknown,Australia,Unknown,Unknown,2019,Bachelor of Science,Finance (BS),Finance,61,bachelor s degree finance general,2016,2019,manager,,ey,http://www.ey.com,professional services,united states,united states,2025-08-01T00:00:00Z,senior consultant,,EY,10.4,"management,time management,training,business strategy,financial analysis,microsoft office,strategic planning,project management,finance,microsoft excel",8,0,0,manager manager ey senior consultant,"management, time management, training, business strategy, financial analysis, microsoft office, strategic planning, project management, finance, microsoft excel",10
external_validation_index_62,mental health counselor futures planning provider therapeutic mentor,Trumbull,Connecticut,United States,Futures Planning Provider,Causeway Collaborative,2020,Bachelor of Science,Finance (BS),Finance,62,master of science mental health counseling counselor,2023,2025,mental health counselor futures planning provider therapeutic mentor,causeway collaborative is get your life back on track counseling for young men who need expert guidance to move forward and find their purpose provide academic and career support in addition to existential exploration provide community based adls health and wellness and interpersonal and social support collaborate with team to provide the necessary support including weekly squad and clinical case management participate in monthly trainings with team including diversity and inclusion family therapy and systems futures and therapeutic mentorship exquisite service trainings,causeway collaborative,http://www.CausewayCollaborative.com,mental health care,united states,"westport, connecticut, united states",2022-09-01T00:00:00Z,founder,https buckmancoachingandcounseling clientsecure me professional counseling and coaching for emerging adults professionals and adolescents https www thorne com u buckmansupplements contact me for thorne supplement discounts,Buckman Coaching and Counseling,8.3,"psychological first aid,adult cpr,pediatric cpr,adult first aid,pediatric first aid,adult aed,pediatric aed,behavioral finance,alternative investment,anti-defemation league training,budgeting,data analysis,financial analysis,financial modeling,financial statements,research,cash flow,general ledger,microsoft office,microsoft word",8,1,1,mental health counselor futures planning provider therapeutic mentor mental health counselor futures planning provider therapeutic mentor causeway collaborative is get your life back on track counseling for young men who need expert guidance to move forward and find their purpose provide academic and career support in addition to existential exploration provide community based adls health and wellness and interpersonal and social support collaborate with team to provide the necessary support including weekly squad and clinical case management participate in monthly trainings with team including diversity and inclusion family therapy and systems futures and therapeutic mentorship exquisite service trainings causeway collaborative founder https buckmancoachingandcounseling clientsecure me professional counseling and coaching for emerging adults professionals and adolescents https www thorne com u buckmansupplements contact me for thorne supplement discounts,"psychological first aid, adult cpr, pediatric cpr, adult first aid, pediatric first aid, adult aed, pediatric aed, behavioral finance, alternative investment, anti-defemation league training, budgeting, data analysis, financial analysis, financial modeling, financial statements, research, cash flow, general ledger, microsoft office, microsoft word",20
external_validation_index_63,futures planning provider,Trumbull,Connecticut,United States,Futures Planning Provider,Causeway Collaborative,2020,Bachelor of Science,Finance (BS),Finance,63,,NA,NA,,,,NA,unknown,unknown,unknown,NA,,,NA,0,,0,0,0,futures planning provider,,0
external_validation_index_64,unknown,Ho Chi Minh,Unknown,Vietnam,Unknown,Unknown,2019,Bachelor of Science,Finance (BS),Finance,64,,NA,NA,,,,NA,unknown,unknown,unknown,NA,,,NA,0,,0,0,0,unknown,,0
external_validation_index_65,sr program manager,Woodbridge,Virginia,United States,Sr. Program Manager,Amazon,2020,Master of Business Admin,Business Administration (MBA),Business Administration,65,,NA,NA,,,,NA,unknown,unknown,unknown,NA,,,NA,0,,0,0,0,sr program manager,,0
external_validation_index_66,vice president,Waipahu,Hawaii,United States,Business Development Associate,Ascend,2019,Bachelor of Science,Finance (BS),Finance,66,master of science ms finance,0,0,vice president,,modus,modusalliance.com,financial services,united states,"new york, ny",2026-02-01T00:00:00Z,platform m a,backed by alpine investors a people driven private equity firm,Ascend,9.8,"financial analysis,finance,private equity,investment decisions,transaction experience,deal execution,transaction advisory,growth strategies,financial transactions,financial advisory,due diligence,data analysis,bloomberg,microsoft office,customer service,management,microsoft excel,leadership,microsoft word,microsoft powerpoint",19,0,1,vice president vice president modus platform m a backed by alpine investors a people driven private equity firm,"financial analysis, finance, private equity, investment decisions, transaction experience, deal execution, transaction advisory, growth strategies, financial transactions, financial advisory, due diligence, data analysis, bloomberg, microsoft office, customer service, management, microsoft excel, leadership, microsoft word, microsoft powerpoint",20
external_validation_index_67,unknown,South Miami,Florida,United States,Unknown,Unknown,2019,Master of Science,Taxation (MS),Taxation,67,,NA,NA,,,,NA,unknown,unknown,unknown,NA,,,NA,0,,0,0,0,unknown,,0
external_validation_index_68,intern research analyst,Xianyang,Unknown,China,Intern Research Analyst,Quantum Financial Advisors,2020,Master of Science,Finance (MS),Finance,68,master s degree finance,2018,2020,intern research analyst,managed a team of to lead qfa äôs expansion into china performed research on bloomberg and pitched research findings and investment ideas to cio on a weekly basis leveraged existing connections and supported company äôs business development efforts used social media to build relationships with high net worth individuals and business in china,quantum financial advisors,http://www.qfainc.com/,financial services,united states,united states,2020-01-01T00:00:00Z,consultant intern,evaluated data for over surveys using excel on personal career planning and development purpose collaborated with fortune companies from educational real estate and energy industries to provide solutions and feedback on building teams in financial departments advised and enhanced motivation efficiency of employees from a fortune company by,Ernst & Young Global Consulting Services,2.3,"stata,microsoft office,bloomberg,thomson reuters,finance,valuation,financial modeling,quantitative analytics,financial analysis,equities,trading,model united nations,communication,leadership,teamwork,piano",3,1,1,intern research analyst intern research analyst managed a team of to lead qfa äôs expansion into china performed research on bloomberg and pitched research findings and investment ideas to cio on a weekly basis leveraged existing connections and supported company äôs business development efforts used social media to build relationships with high net worth individuals and business in china quantum financial advisors consultant intern evaluated data for over surveys using excel on personal career planning and development purpose collaborated with fortune companies from educational real estate and energy industries to provide solutions and feedback on building teams in financial departments advised and enhanced motivation efficiency of employees from a fortune company by,"stata, microsoft office, bloomberg, thomson reuters, finance, valuation, financial modeling, quantitative analytics, financial analysis, equities, trading, model united nations, communication, leadership, teamwork, piano",16
external_validation_index_69,unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2019,Master of Science,Finance (MS),Unknown,69,,NA,NA,,,,NA,unknown,unknown,unknown,NA,,,NA,0,,0,0,0,unknown,,0
external_validation_index_70,acquisition subject matter expert,Fairhope,Alabama,United States,Acquisition Subject Matter Expert,MAG Aerospace,2019,Master of Business Admin,Business Administration (MBA) [Online],Business Administration,70,master of business administration mba business administration and management general,0,0,acquisition subject matter expert,,nexagen networks inc,http://www.nexagen.com,it services and it consulting,united states,unknown,2024-11-01T00:00:00Z,operations officer,as operations officer i am responsible the training readiness travel and funding for a team of naval personnel deploying in support of naval reserve missions in the indo pacific region and worldwide during fiscal year planned coordinated and executed high priority task orders for detachment servicemembers allowing the unit to provide days of support to usindopacom headquarters ensuring critical manning shortfalls were addressed and combatant command needs were appropriately met,U.S. Navy Reserve,17.4,"strategic planning,software project management,strategic business development,process improvement,change management,leadership,logistics management,budget forecasting,program management,operations management,personnel management,operational planning,international relations,project management,aerospace,team management,management,flight test,military aviation",13,0,1,acquisition subject matter expert acquisition subject matter expert nexagen networks inc operations officer as operations officer i am responsible the training readiness travel and funding for a team of naval personnel deploying in support of naval reserve missions in the indo pacific region and worldwide during fiscal year planned coordinated and executed high priority task orders for detachment servicemembers allowing the unit to provide days of support to usindopacom headquarters ensuring critical manning shortfalls were addressed and combatant command needs were appropriately met,"strategic planning, software project management, strategic business development, process improvement, change management, leadership, logistics management, budget forecasting, program management, operations management, personnel management, operational planning, international relations, project management, aerospace, team management, management, flight test, military aviation",19
external_validation_index_71,director key accounts,Unknown,Unknown,Unknown,Director - Key Accounts,Cultivate,2020,Master of Business Admin,Business Administration (MBA) [Online],Business Administration,71,master of business administration mba business analytics,2017,2019,director key accounts,,cultivate,https://www.cultivatecpg.com,consumer goods,united states,charlotte metro,2023-04-01T00:00:00Z,national account manager,,Cultivate,18.4,"revenue & profit growth,new markets,field operations,nielsen data,business reviews,market analysis,relationship development,distributor management,merchandising strategies,supply chain management,performance measurement,inventory management,sales performance,forecasting,critical thinking,go-to-market strategy,business planning,analytical skills,p&l management,business relationship management",11,0,0,director key accounts director key accounts cultivate national account manager,"revenue & profit growth, new markets, field operations, nielsen data, business reviews, market analysis, relationship development, distributor management, merchandising strategies, supply chain management, performance measurement, inventory management, sales performance, forecasting, critical thinking, go-to-market strategy, business planning, analytical skills, p&l management, business relationship management",20
external_validation_index_72,director key accounts,Unknown,Unknown,Unknown,Director - Key Accounts,Cultivate,2020,Master of Business Admin,Business Administration (MBA) [Online],Business Administration,72,,NA,NA,,,,NA,unknown,unknown,unknown,NA,,,NA,0,,0,0,0,director key accounts,,0
external_validation_index_73,unknown,Jinan,Unknown,China,Unknown,Unknown,2020,Master of Science,Accounting (MS),Accounting,73,,NA,NA,,,,NA,unknown,unknown,unknown,NA,,,NA,0,,0,0,0,unknown,,0
external_validation_index_74,unknown,NA,Unknown,China,Unknown,Unknown,2019,BS in Business Administration,Business Administration: Finance (BSBA),Business Administration,74,,NA,NA,,,,NA,unknown,unknown,unknown,NA,,,NA,0,,0,0,0,unknown,,0
external_validation_index_75,unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2019,Master of Science,Finance (MS),Unknown,75,master s degree finance,2018,2019,,,,NA,unknown,united states,unknown,NA,,,NA,0,microsoft excel,0,0,0,unknown,microsoft excel,1
external_validation_index_76,vp customer operations,Arlington,Virginia,United States,"Vp, Customer Operations",Knowland,2020,Master of Business Admin,Business Administration (MBA) [Online],Business Administration,76,,NA,NA,,,,NA,unknown,unknown,unknown,NA,,,NA,0,,0,0,0,vp customer operations,,0
external_validation_index_77,unknown,San Salvador,Unknown,El Salvador,Unknown,Unknown,2019,Bachelor of Science,Finance (BS),Finance,77,,NA,NA,,,,NA,unknown,unknown,unknown,NA,,,NA,0,,0,0,0,unknown,,0
external_validation_index_78,unknown,Garnet Valley,Pennsylvania,United States,Unknown,Unknown,2020,Bachelor of Science,Accounting (BS),Accounting,78,,NA,NA,,,,NA,unknown,unknown,unknown,NA,,,NA,0,,0,0,0,unknown,,0
external_validation_index_79,unknown,San Jose,Unknown,Costa Rica,Unknown,Unknown,2019,BS in Business Administration,Business Administration: Entreship: Intl Business (BSBA),Business Administration,79,,NA,NA,,,,NA,unknown,unknown,unknown,NA,,,NA,0,,0,0,0,unknown,,0
external_validation_index_80,technical business analyst ii,Troy,Virginia,United States,Engineering Project Manager,ExpLore Learning,2019,Master of Science,Analytics (MS) [Online],Analytics,80,master s degree business analytics,2018,2019,technical business analyst ii,ä collaborated with development teams to implement automated data pipelines using azure data factory adf enhancing enterprise workflow efficiency across multiple business units ä delivered capacity and efficiency improvements for regulatory intelligence marketing digital marketing and international teams in the eu and canada by optimizing data operations ä partnered with the data science team to define and refine a regulatory alert model enabling early detection of compliance risks through data driven signals ä produced a quarterly policy and trends summary outlining key regulatory developments and current events impacting ai ml and data science standards ä managed relationships with external data vendors negotiating and integrating apis for real time access to product sales and marketing performance metrics ä scoped and vetted technical and business projects ensuring alignment with strategic goals and feasibility within current infrastructure and resource capacity ä facilitated retrospectives and strategy alignment sessions between business analysts and engineering teams to improve collaboration identify blockers and drive continuous improvement ä developed and maintained comprehensive documentation outlining roles responsibilities and escalation paths promoting clarity and accountability across teams,elder research,https://www.elderresearch.com/,data infrastructure and analytics,united states,"charlottesville, va",2024-06-01T00:00:00Z,engineering project manager,ä coordinates the migration of the flagship product äì including its content and million active users äì to our unified product platform which generates of company revenue ä manages the development and launch of the internal customer service tool that maintains the full hierarchy changes and records of all platform accounts including their subscriptions users and integrations ä collaborates with ui ux teams to define the design strategy and normalize style components to ensure the product site is intuitive accessible and inclusive ä leads scrum ceremonies and prioritizes tasks for three frontend and five backend developers to address product improvements features and performance ä translates technical processes and features to cross functional teams during monthly steering meetings,ExploreLearning,5.3,"delivery manager,automated processes,figma (software),canva,product design,content management,learning management,software as a service (saas),product strategy,user stories,customer presentations,product management,communication,r,tableau,salesforce lightning,user experience design (ued),user acceptance testing,beta testing,agile methodologies",6,1,1,technical business analyst ii technical business analyst ii ä collaborated with development teams to implement automated data pipelines using azure data factory adf enhancing enterprise workflow efficiency across multiple business units ä delivered capacity and efficiency improvements for regulatory intelligence marketing digital marketing and international teams in the eu and canada by optimizing data operations ä partnered with the data science team to define and refine a regulatory alert model enabling early detection of compliance risks through data driven signals ä produced a quarterly policy and trends summary outlining key regulatory developments and current events impacting ai ml and data science standards ä managed relationships with external data vendors negotiating and integrating apis for real time access to product sales and marketing performance metrics ä scoped and vetted technical and business projects ensuring alignment with strategic goals and feasibility within current infrastructure and resource capacity ä facilitated retrospectives and strategy alignment sessions between business analysts and engineering teams to improve collaboration identify blockers and drive continuous improvement ä developed and maintained comprehensive documentation outlining roles responsibilities and escalation paths promoting clarity and accountability across teams elder research engineering project manager ä coordinates the migration of the flagship product äì including its content and million active users äì to our unified product platform which generates of company revenue ä manages the development and launch of the internal customer service tool that maintains the full hierarchy changes and records of all platform accounts including their subscriptions users and integrations ä collaborates with ui ux teams to define the design strategy and normalize style components to ensure the product site is intuitive accessible and inclusive ä leads scrum ceremonies and prioritizes tasks for three frontend and five backend developers to address product improvements features and performance ä translates technical processes and features to cross functional teams during monthly steering meetings,"delivery manager, automated processes, figma (software), canva, product design, content management, learning management, software as a service (saas), product strategy, user stories, customer presentations, product management, communication, r, tableau, salesforce lightning, user experience design (ued), user acceptance testing, beta testing, agile methodologies",20
external_validation_index_81,senior vice president bank research,Elmhurst,New York,United States,"Vice President, Credit Research",R&T Deposit Solutions,2020,Master of Business Admin,Business Administration (MBA) [Online],Business Administration,81,master of business administration,2016,2020,senior vice president bank research,,r t deposit solutions,http://www.rnt.com,financial services,united states,"new york, ny",2025-03-01T00:00:00Z,vice president bank research,,R&T Deposit Solutions,19.7,"bloomberg,credit analysis,analytics,asset management,mutual funds,fixed income,microsoft excel,microsoft office",6,0,0,senior vice president bank research senior vice president bank research r t deposit solutions vice president bank research,"bloomberg, credit analysis, analytics, asset management, mutual funds, fixed income, microsoft excel, microsoft office",8
external_validation_index_82,vice president credit research,Elmhurst,New York,United States,"Vice President, Credit Research",R&T Deposit Solutions,2020,Master of Business Admin,Business Administration (MBA) [Online],Business Administration,82,,NA,NA,,,,NA,unknown,unknown,unknown,NA,,,NA,0,,0,0,0,vice president credit research,,0
external_validation_index_83,project manager,Silver Spring,Maryland,United States,Project Manager,Actionable Outcomes,2019,Master of Business Admin,Business Administration (MBA) [Online],Business Administration,83,master of business administration mba business analytics,2018,2019,project manager,,actionable outcomes llc,www.actionableoutcomes.com,it system custom software development,united states,unknown,2024-05-01T00:00:00Z,director of technology special projects,lead dc green bank s it and cybersecurity operations ensuring efficient and effective technical support as well as project management efforts for special organizational projects facilities and general operations ä implementation of microsoft office suite for quasi government financial institution ä implemented network and hardware security protocols ä performed general and specialized it support for a team of ä executed data migration and domain change ä resource and contract management ä directly managed the procurement process ä supported the implementation of four vendor services,DC Green Bank,18.9,"logistics management,information technology,military,military operations,army,operations management,program management,operational planning,weapons,afghanistan,national security,military logistics,intelligence analysis,force protection,military training,command,government,microsoft office,leadership,organizational leadership",11,0,1,project manager project manager actionable outcomes llc director of technology special projects lead dc green bank s it and cybersecurity operations ensuring efficient and effective technical support as well as project management efforts for special organizational projects facilities and general operations ä implementation of microsoft office suite for quasi government financial institution ä implemented network and hardware security protocols ä performed general and specialized it support for a team of ä executed data migration and domain change ä resource and contract management ä directly managed the procurement process ä supported the implementation of four vendor services,"logistics management, information technology, military, military operations, army, operations management, program management, operational planning, weapons, afghanistan, national security, military logistics, intelligence analysis, force protection, military training, command, government, microsoft office, leadership, organizational leadership",20
external_validation_index_84,personal property tax compliance specialist,Ashburn,Virginia,United States,Personal Property Tax Compliance Specialist,Loudoun County Government,2020,Master of Science,Taxation (MS),Taxation,84,,NA,NA,,,,NA,unknown,unknown,unknown,NA,,,NA,0,,0,0,0,personal property tax compliance specialist,,0
external_validation_index_85,unknown,Liuzhou,Unknown,China,Unknown,Unknown,2020,Master of Science,Finance (MS),Finance,85,,NA,NA,,,,NA,unknown,unknown,unknown,NA,,,NA,0,,0,0,0,unknown,,0
external_validation_index_86,data analyst,"Yichang, Hubei 443000",Unknown,China,Data Analyst,Policyengine,2020,Bachelor of Science,Finance (BS),Finance,86,,NA,NA,,,,NA,unknown,unknown,unknown,NA,,,NA,0,,0,0,0,data analyst,,0
external_validation_index_87,data analyst,"Yichang, Hubei 443000",Unknown,China,Data Analyst,Policyengine,2020,Bachelor of Science,Finance (BS),Finance,87,,NA,NA,,,,NA,unknown,unknown,unknown,NA,,,NA,0,,0,0,0,data analyst,,0
external_validation_index_88,teaching assistant,Wuhan,Unknown,United States,Teaching Assistant,American University,2019,Master of Science,Accounting (MS),Accounting,88,master of science ms accounting,2018,2019,teaching assistant,during my time in this role i professionally worked with and collaborated within teachers to review and monitor the learning environment to accurately highlight and identify current problems for students additionally i continuously developed and implemented innovative solutions to resolve all student problems within a timely manner furthermore i demonstrated a high level of attention to detail when supporting the professor with tracking attendance and calculating grades ensured all areas were accurate and up to date as a teaching assistant i clearly communicated with students and peers to gather crucial feedback on individual progress furthermore i provided crucial support and assistance to the professor when developing engaging lesson plans to encourage students äô academic progression additionally i expertly organised and scheduled exam sittings to meet the needs and requirements of the organisation,american university,http://american.edu,higher education,united states,"washington, dc",2019-08-01T00:00:00Z,audit intern,as an auditing intern i accurately collated and compiled customer data to ensure all records were maintained and up to date furthermore i demonstrated a high level of attention to detail when reviewing documents highlighted any discrepancies or areas of concern to senior managers for action additionally i consistently developed and prepared in depth intuitive reports to clearly communicate organisational areas of growth and decline in this role i successfully utilized core skills and knowledge to actively highlight bugs as an assistance when carrying out thorough checks on a balance sheet,Founder Accounting Firm,3.5,"microsoft office,excel,r,u.s. generally accepted accounting principles (gaap),international financial reporting standards (ifrs),organisation,problem solving,attention to detail,communication,teamwork",2,1,1,teaching assistant teaching assistant during my time in this role i professionally worked with and collaborated within teachers to review and monitor the learning environment to accurately highlight and identify current problems for students additionally i continuously developed and implemented innovative solutions to resolve all student problems within a timely manner furthermore i demonstrated a high level of attention to detail when supporting the professor with tracking attendance and calculating grades ensured all areas were accurate and up to date as a teaching assistant i clearly communicated with students and peers to gather crucial feedback on individual progress furthermore i provided crucial support and assistance to the professor when developing engaging lesson plans to encourage students äô academic progression additionally i expertly organised and scheduled exam sittings to meet the needs and requirements of the organisation american university audit intern as an auditing intern i accurately collated and compiled customer data to ensure all records were maintained and up to date furthermore i demonstrated a high level of attention to detail when reviewing documents highlighted any discrepancies or areas of concern to senior managers for action additionally i consistently developed and prepared in depth intuitive reports to clearly communicate organisational areas of growth and decline in this role i successfully utilized core skills and knowledge to actively highlight bugs as an assistance when carrying out thorough checks on a balance sheet,"microsoft office, excel, r, u.s. generally accepted accounting principles (gaap), international financial reporting standards (ifrs), organisation, problem solving, attention to detail, communication, teamwork",10
external_validation_index_89,unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2020,Bachelor of Science,Finance (BS),Finance,89,,NA,NA,,,,NA,unknown,unknown,unknown,NA,,,NA,0,,0,0,0,unknown,,0
external_validation_index_90,unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2020,Bachelor of Science,Finance (BS),Finance,90,,NA,NA,,,,NA,unknown,unknown,unknown,NA,,,NA,0,,0,0,0,unknown,,0
external_validation_index_91,unknown,Jinhua,Unknown,China,Unknown,Unknown,2020,Master of Science,Finance (MS),Finance,91,,2018,2020,,,,NA,unknown,united states,unknown,NA,,,NA,0,,0,0,0,unknown,,0
external_validation_index_92,unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2019,Master of Science,Real Estate (MS),Unknown,92,master s degree real estate,2018,2019,,,,NA,unknown,united states,unknown,NA,,,NA,0,,0,0,0,unknown,,0
external_validation_index_93,president,Washington,District of Columbia,United States,President,Qesna,2019,Master of Business Admin,Business Administration (MBA) [Online],Business Administration,93,master of business administration mba cyber electronic operations,0,0,president,create market data analytic models to identify trends opportunities strategic direction and create compelling market analysis presentations for c suite leadership which drive ebitda performance,qesna llc,http://www.qesna.com,financial services,united states,unknown,2008-01-01T00:00:00Z,manager of marketing analytics,,Americatel Corporation,23.6,"financial modeling,due diligence,financial reporting,contract negotiation,performance management,financial analysis,mergers,forecasting,corporate finance,accounting,budgeting,cash flow,business planning,financial accounting,audit,variance analysis,general ledger,internal controls,restructuring,project finance",4,1,0,president president create market data analytic models to identify trends opportunities strategic direction and create compelling market analysis presentations for c suite leadership which drive ebitda performance qesna llc manager of marketing analytics,"financial modeling, due diligence, financial reporting, contract negotiation, performance management, financial analysis, mergers, forecasting, corporate finance, accounting, budgeting, cash flow, business planning, financial accounting, audit, variance analysis, general ledger, internal controls, restructuring, project finance",20
external_validation_index_94,events executive,East Setauket,New York,United States,North America Event Manager,Brickworks North America,2020,BS in Business Administration,Business Administration: Management: Marketing (BSBA),Business Administration,94,bachelor of business administration business administration and management general,2016,2020,events executive,i am responsible for leading the strategy and execution of luminance äôs global event portfolio delivering high impact experiences that strengthen brand positioning and support commercial growth i oversee all phases of event delivery from strategic planning and stakeholder alignment to on site execution and post event performance analysis ensuring each initiative aligns with broader business objectives i manage six figure event budgets forecast spend across multiple markets and allocate resources to maximize roi while maintaining exceptional execution standards i collaborate cross functionally with marketing sales and leadership teams to support pipeline development product positioning and client engagement through conferences executive roundtables industry activations and flagship events i build and maintain strategic partnerships with global vendors and venues negotiate contracts and implement scalable processes to enhance efficiency visibility and consistency across the events function,luminance,http://www.luminance.com,software development,united states,"new york, ny",2025-12-01T00:00:00Z,north america event manager,i am responsible for planning and executing all design studio events across north america with a minimum of events per month i manage all aspects of event planning including pre planning execution and post event activities i determine appropriate staffing and budget levels to stay within given parameters i organize event logistics by creating a list of exclusive vendors caterers photographers florists and musicians i forecast and manage an annual events budget of for multiple national properties i build and maintain strategic partnerships with vendors and local organizations to increase event attendance and impact i effectively communicate with stakeholders to produce desired results for property launches conferences and other events that align with the brand experience,Brickworks North America,11.8,"marketing strategy,digital marketing,content development,email marketing,conference management,conference coordination,conference production,client relations,client liaison,business development,corporate events,budget management,event marketing,communication,collaboration,time management,teamwork,leadership,decision-making,performance motivation",16,1,1,events executive events executive i am responsible for leading the strategy and execution of luminance äôs global event portfolio delivering high impact experiences that strengthen brand positioning and support commercial growth i oversee all phases of event delivery from strategic planning and stakeholder alignment to on site execution and post event performance analysis ensuring each initiative aligns with broader business objectives i manage six figure event budgets forecast spend across multiple markets and allocate resources to maximize roi while maintaining exceptional execution standards i collaborate cross functionally with marketing sales and leadership teams to support pipeline development product positioning and client engagement through conferences executive roundtables industry activations and flagship events i build and maintain strategic partnerships with global vendors and venues negotiate contracts and implement scalable processes to enhance efficiency visibility and consistency across the events function luminance north america event manager i am responsible for planning and executing all design studio events across north america with a minimum of events per month i manage all aspects of event planning including pre planning execution and post event activities i determine appropriate staffing and budget levels to stay within given parameters i organize event logistics by creating a list of exclusive vendors caterers photographers florists and musicians i forecast and manage an annual events budget of for multiple national properties i build and maintain strategic partnerships with vendors and local organizations to increase event attendance and impact i effectively communicate with stakeholders to produce desired results for property launches conferences and other events that align with the brand experience,"marketing strategy, digital marketing, content development, email marketing, conference management, conference coordination, conference production, client relations, client liaison, business development, corporate events, budget management, event marketing, communication, collaboration, time management, teamwork, leadership, decision-making, performance motivation",20
external_validation_index_95,unknown,Wangthonglang,Unknown,Thailand,Unknown,Unknown,2020,Master of Science,Finance (MS),Finance,95,master of science ms finance general,2018,2020,,,,NA,unknown,thailand,unknown,NA,,,NA,0,,0,0,0,unknown,,0
external_validation_index_96,unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2020,BS in Business Administration,Business Administration: Finance (BSBA),Business Administration,96,undergraduate finance general,2017,2020,,,,NA,unknown,united states,unknown,NA,,,NA,0,,0,0,0,unknown,,0
external_validation_index_97,vp industry coverage,Wilmington,Delaware,United States,Commercial Manager,"H Cycle, LLC",2019,BS in Business Administration,Business Administration: Finance (BSBA),Business Administration,97,bachelor s degree business administration finance,0,0,vp industry coverage,,crux,www.cruxclimate.com,financial services,united states,"los angeles, california, united states",2026-02-01T00:00:00Z,senior manager industry coverage,,Crux,6.8,"financial modeling,private equity,asset management,financial analysis,financial reporting,solar energy,generally accepted accounting principles (gaap),international financial reporting standards (ifrs),budgeting,data management,audit,risk analysis,corporate finance,bank reconciliation,risk management,variance analysis,general ledger accounting,journal entries,microsoft excel,bloomberg terminal",6,0,0,vp industry coverage vp industry coverage crux senior manager industry coverage,"financial modeling, private equity, asset management, financial analysis, financial reporting, solar energy, generally accepted accounting principles (gaap), international financial reporting standards (ifrs), budgeting, data management, audit, risk analysis, corporate finance, bank reconciliation, risk management, variance analysis, general ledger accounting, journal entries, microsoft excel, bloomberg terminal",20
external_validation_index_98,nd vice president,Glen Ellyn,Illinois,United States,2nd VP,Northern Trust Securities,2020,Master of Business Admin,Business Administration (MBA) [Online],Business Administration,98,master of business administration mba,2016,2018,nd vice president,,northern trust securities inc,NA,investment banking,united states,"chicago, illinois, united states",2022-09-01T00:00:00Z,nd vice president fund of hedge fund,,Northern Trust Corporation,26.9,"teamwork,options,word,excel,powerpoint,microsoft office,risk management,investments,problem solving,management",13,0,0,nd vice president nd vice president northern trust securities inc nd vice president fund of hedge fund,"teamwork, options, word, excel, powerpoint, microsoft office, risk management, investments, problem solving, management",10
external_validation_index_99,nd vp,Glen Ellyn,Illinois,United States,2nd VP,Northern Trust Securities,2020,Master of Business Admin,Business Administration (MBA) [Online],Business Administration,99,,NA,NA,,,,NA,unknown,unknown,unknown,NA,,,NA,0,,0,0,0,nd vp,,0
